episode,reward,avg_loss,epsilon,success,steps
0,-4.000,0.02014,0.998,0,50
1,1.500,0.03527,0.995,0,50
2,3.000,0.04263,0.993,0,50
3,-6.000,0.03284,0.991,0,50
4,-7.000,0.02758,0.988,0,50
5,1.500,0.02623,0.986,0,50
6,-3.000,0.02441,0.983,0,50
7,-1.500,0.02215,0.981,0,50
8,-1.500,0.02063,0.979,0,50
9,-4.000,0.02036,0.976,0,50
10,-8.500,0.01841,0.974,0,50
11,-3.500,0.02056,0.972,0,50
12,1.000,0.02121,0.969,0,50
13,2.000,0.02307,0.967,0,50
14,-2.000,0.02242,0.964,0,50
15,-2.500,0.02252,0.962,0,50
16,-3.500,0.02188,0.960,0,50
17,-2.000,0.02095,0.957,0,50
18,4.000,0.02162,0.955,0,50
19,-2.000,0.02288,0.953,0,50
20,-3.500,0.04328,0.950,0,50
21,-5.000,0.03608,0.948,0,50
22,3.000,0.03708,0.945,0,50
23,-1.500,0.03425,0.943,0,50
24,1.000,0.03230,0.941,0,50
25,6.500,0.03204,0.938,0,50
26,-3.000,0.03550,0.936,0,50
27,3.000,0.03679,0.934,0,50
28,-3.500,0.03519,0.931,0,50
29,3.000,0.03551,0.929,0,50
30,-5.000,0.03287,0.926,0,50
31,-3.000,0.03086,0.924,0,50
32,-4.500,0.03453,0.922,0,50
33,4.500,0.03265,0.919,0,50
34,-0.500,0.03131,0.917,0,50
35,-2.000,0.03417,0.915,0,50
36,2.500,0.03112,0.912,0,50
37,4.000,0.03436,0.910,0,50
38,-2.500,0.03544,0.907,0,50
39,-1.000,0.03242,0.905,0,50
40,-3.500,0.05555,0.903,0,50
41,2.000,0.04497,0.900,0,50
42,-5.000,0.04364,0.898,0,50
43,-1.500,0.04048,0.896,0,50
44,0.000,0.04337,0.893,0,50
45,-0.500,0.04139,0.891,0,50
46,1.500,0.04005,0.888,0,50
47,6.500,0.03836,0.886,0,50
48,5.500,0.03951,0.884,0,50
49,-4.500,0.04010,0.881,0,50
50,-0.000,0.04224,0.879,0,50
51,1.000,0.04031,0.877,0,50
52,-1.000,0.03837,0.874,0,50
53,-0.500,0.03948,0.872,0,50
54,59.400,0.04042,0.870,1,41
55,1.500,1.62981,0.867,0,50
56,5.500,1.61882,0.865,0,50
57,2.500,0.82430,0.863,0,50
58,5.500,0.81721,0.860,0,50
59,-2.000,0.80290,0.858,0,50
60,-0.500,0.81800,0.856,0,50
61,6.500,1.52368,0.853,0,50
62,-4.000,1.46539,0.851,0,50
63,53.500,2.00474,0.849,1,35
64,7.000,0.76251,0.847,0,50
65,4.000,2.14801,0.844,0,50
66,-6.000,1.57450,0.842,0,50
67,8.000,2.40575,0.840,0,50
68,2.500,2.20909,0.837,0,50
69,10.000,1.58617,0.835,0,50
70,2.500,1.51537,0.833,0,50
71,8.500,0.80195,0.830,0,50
72,5.500,2.10246,0.828,0,50
73,1.500,1.44883,0.825,0,50
74,-1.000,0.77643,0.823,0,50
75,-5.000,0.68892,0.821,0,50
76,7.000,2.27543,0.818,0,50
77,9.000,2.74148,0.816,0,50
78,0.500,2.16214,0.814,0,50
79,0.500,1.24725,0.811,0,50
80,6.000,0.13767,0.809,0,50
81,8.000,2.24924,0.806,0,50
82,3.500,0.88597,0.804,0,50
83,5.000,0.87381,0.802,0,50
84,10.500,0.12889,0.799,0,50
85,51.800,3.07487,0.798,1,37
86,1.500,4.22127,0.795,0,50
87,1.000,0.78959,0.793,0,50
88,55.800,1.63978,0.791,1,42
89,6.000,5.15755,0.788,0,50
90,7.500,1.49195,0.786,0,50
91,-0.500,2.00382,0.784,0,50
92,7.000,2.03890,0.781,0,50
93,0.500,3.52318,0.779,0,50
