episode,reward,avg_loss,epsilon,success,steps
0,-4.000,0.00000,0.999,0,50
1,1.500,0.03640,0.997,0,50
2,3.000,0.02770,0.996,0,50
3,-9.000,0.01923,0.995,0,50
4,-5.000,0.01417,0.993,0,50
5,2.000,0.01296,0.992,0,50
6,-6.000,0.01185,0.991,0,50
7,-3.500,0.01374,0.989,0,50
8,-3.000,0.01218,0.988,0,50
9,-3.500,0.01173,0.986,0,50
10,-9.000,0.01182,0.985,0,50
11,-2.500,0.01035,0.984,0,50
12,-0.500,0.01129,0.982,0,50
13,2.500,0.01260,0.981,0,50
14,-0.000,0.01258,0.980,0,50
15,-3.500,0.01160,0.978,0,50
16,0.500,0.01135,0.977,0,50
17,-2.000,0.01107,0.976,0,50
18,-1.500,0.01101,0.974,0,50
19,-3.000,0.01114,0.973,0,50
20,-1.000,0.03213,0.972,0,50
21,3.000,0.02217,0.970,0,50
22,-6.000,0.01897,0.969,0,50
23,-5.000,0.01700,0.967,0,50
24,-5.500,0.01557,0.966,0,50
25,-5.000,0.01542,0.965,0,50
26,-2.000,0.01598,0.963,0,50
27,-2.500,0.01742,0.962,0,50
28,-2.500,0.01559,0.961,0,50
29,-2.500,0.01519,0.959,0,50
30,-7.000,0.01515,0.958,0,50
31,-3.000,0.01388,0.957,0,50
32,-5.000,0.01442,0.955,0,50
33,2.500,0.01469,0.954,0,50
34,4.000,0.01516,0.953,0,50
35,-3.000,0.01471,0.951,0,50
36,-4.000,0.01455,0.950,0,50
37,-3.000,0.01385,0.948,0,50
38,-2.000,0.01452,0.947,0,50
39,-1.500,0.01417,0.946,0,50
40,-1.500,0.03612,0.944,0,50
41,-3.500,0.02550,0.943,0,50
42,-5.000,0.02259,0.942,0,50
43,5.500,0.02264,0.940,0,50
44,-1.500,0.02161,0.939,0,50
45,-0.500,0.02120,0.938,0,50
46,-3.500,0.02008,0.936,0,50
47,-2.500,0.01967,0.935,0,50
48,-4.500,0.01979,0.934,0,50
49,-0.500,0.01962,0.932,0,50
50,-0.500,0.01894,0.931,0,50
51,0.500,0.01958,0.929,0,50
52,-5.000,0.01945,0.928,0,50
53,1.000,0.01939,0.927,0,50
54,1.000,0.01947,0.925,0,50
55,2.500,0.01890,0.924,0,50
56,-1.000,0.01886,0.923,0,50
57,-2.500,0.01969,0.921,0,50
58,-4.000,0.01872,0.920,0,50
59,5.500,0.01815,0.919,0,50
60,-0.000,0.04698,0.917,0,50
61,-1.000,0.03387,0.916,0,50
62,4.000,0.03171,0.915,0,50
63,-1.000,0.03266,0.913,0,50
64,-0.000,0.03029,0.912,0,50
65,-2.500,0.02818,0.910,0,50
66,-1.000,0.02812,0.909,0,50
67,6.000,0.02667,0.908,0,50
68,0.000,0.02813,0.906,0,50
69,-3.500,0.02700,0.905,0,50
70,-0.000,0.02767,0.904,0,50
71,3.500,0.02734,0.902,0,50
72,-0.000,0.02615,0.901,0,50
73,-2.500,0.02724,0.900,0,50
74,5.500,0.02725,0.898,0,50
75,-5.500,0.02900,0.897,0,50
76,1.500,0.02918,0.896,0,50
77,6.500,0.02860,0.894,0,50
78,1.500,0.02874,0.893,0,50
79,3.500,0.02755,0.891,0,50
80,0.000,0.05779,0.890,0,50
81,0.500,0.04435,0.889,0,50
82,-0.000,0.04190,0.887,0,50
83,1.000,0.04209,0.886,0,50
84,-0.500,0.03897,0.885,0,50
85,-3.000,0.04018,0.883,0,50
86,-1.500,0.03926,0.882,0,50
87,0.500,0.03800,0.881,0,50
88,-4.000,0.03604,0.879,0,50
89,6.000,0.03642,0.878,0,50
90,1.500,0.03800,0.877,0,50
91,57.400,0.03648,0.876,1,36
92,3.000,0.55079,0.874,0,50
93,-4.000,0.28998,0.873,0,50
94,-1.500,0.55348,0.871,0,50
95,3.000,0.76314,0.870,0,50
96,-0.500,0.73358,0.869,0,50
97,-2.000,0.97512,0.867,0,50
98,8.000,0.50282,0.866,0,50
99,0.000,0.49935,0.865,0,50
100,-4.000,0.95621,0.863,0,50
101,-2.000,0.09611,0.862,0,50
102,4.000,0.94568,0.861,0,50
103,-0.000,0.29124,0.859,0,50
104,-3.500,0.07233,0.858,0,50
105,3.000,0.27882,0.857,0,50
106,1.000,1.08826,0.855,0,50
107,1.000,0.68515,0.854,0,50
108,1.500,0.63904,0.852,0,50
109,1.500,0.86995,0.851,0,50
110,5.000,0.49194,0.850,0,50
111,-4.500,0.07586,0.848,0,50
112,6.000,0.24752,0.847,0,50
113,4.000,0.68507,0.846,0,50
114,-0.000,0.47576,0.844,0,50
115,2.500,0.06932,0.843,0,50
116,56.800,0.06417,0.842,1,27
117,9.500,0.46158,0.841,0,50
118,3.500,0.76730,0.840,0,50
119,2.000,0.65580,0.838,0,50
120,2.500,1.01123,0.837,0,50
121,6.500,0.74955,0.835,0,50
122,13.500,0.71460,0.834,0,50
123,8.000,0.35946,0.833,0,50
124,53.400,0.10968,0.832,1,11
125,-1.000,1.46721,0.831,0,50
126,-4.000,1.16171,0.830,0,50
127,2.000,0.71660,0.828,0,50
128,-5.000,1.17640,0.827,0,50
129,4.000,0.32758,0.826,0,50
130,4.000,1.09625,0.824,0,50
131,5.500,0.87657,0.823,0,50
132,4.500,1.10751,0.822,0,50
133,5.000,0.27389,0.820,0,50
134,11.500,0.72089,0.819,0,50
135,-4.000,0.93858,0.818,0,50
136,-2.500,0.63050,0.816,0,50
137,0.500,0.52607,0.815,0,50
138,5.000,0.27168,0.813,0,50
139,6.000,1.03685,0.812,0,50
140,8.000,0.52035,0.811,0,50
141,7.000,0.67925,0.809,0,50
142,10.000,1.28858,0.808,0,50
143,8.500,0.88039,0.807,0,50
144,4.500,0.35561,0.805,0,50
145,4.500,1.45003,0.804,0,50
146,-3.000,0.83900,0.803,0,50
147,1.000,0.49121,0.801,0,50
148,1.500,1.05161,0.800,0,50
149,0.500,0.67789,0.799,0,50
150,12.000,0.76633,0.797,0,50
151,5.500,0.79514,0.796,0,50
152,0.000,0.48016,0.794,0,50
153,8.000,0.95859,0.793,0,50
154,5.500,1.03783,0.792,0,50
155,2.500,0.99518,0.790,0,50
156,2.500,2.00359,0.789,0,50
157,6.000,0.77023,0.788,0,50
158,8.500,0.91343,0.786,0,50
159,1.500,0.46193,0.785,0,50
160,-0.500,0.33695,0.784,0,50
161,60.700,0.83633,0.783,1,28
162,-0.000,1.64552,0.781,0,50
163,1.500,0.96255,0.780,0,50
164,3.000,1.55205,0.779,0,50
165,3.000,1.40258,0.777,0,50
166,-4.000,0.37485,0.776,0,50
167,-3.500,1.39255,0.775,0,50
168,-1.000,1.51598,0.773,0,50
169,2.000,0.85084,0.772,0,50
170,5.000,0.20077,0.771,0,50
171,-0.500,0.95224,0.769,0,50
172,8.000,0.77400,0.768,0,50
173,4.000,0.95745,0.767,0,50
174,1.500,1.19725,0.765,0,50
175,-1.000,0.75665,0.764,0,50
176,6.500,0.97849,0.762,0,50
177,2.500,0.50091,0.761,0,50
178,3.000,0.66612,0.760,0,50
179,5.500,0.92272,0.758,0,50
180,15.000,1.03143,0.757,0,50
181,4.000,1.41989,0.756,0,50
182,2.000,0.83875,0.754,0,50
183,2.000,0.48707,0.753,0,50
184,12.500,1.81664,0.752,0,50
185,9.000,1.46891,0.750,0,50
186,3.500,0.96909,0.749,0,50
187,-1.000,1.62236,0.748,0,50
188,7.500,0.52650,0.746,0,50
189,-0.000,0.83384,0.745,0,50
190,-2.000,0.88589,0.743,0,50
191,8.000,0.41558,0.742,0,50
192,2.500,1.07071,0.741,0,50
193,12.000,1.21297,0.739,0,50
194,-0.000,0.65013,0.738,0,50
195,7.000,1.06066,0.737,0,50
196,14.500,0.43916,0.735,0,50
197,8.500,0.35599,0.734,0,50
198,13.000,0.70503,0.733,0,50
199,5.500,0.25396,0.731,0,50
200,54.600,0.75305,0.730,1,39
201,3.000,2.17981,0.729,0,50
202,6.500,1.70875,0.727,0,50
203,4.000,0.62587,0.726,0,50
204,-4.000,1.34400,0.725,0,50
205,6.000,1.24974,0.723,0,50
206,1.500,0.82817,0.722,0,50
207,-2.500,0.82335,0.721,0,50
208,4.500,0.89733,0.719,0,50
